Company Name,Title,Description,Location,Started On,Finished On
Zodiac Aerospace,Ingénieur production,Amélioration de l'organisation d'un atelier de production et réparation aéronautique  - Gestion des flux de produits (management visuel et ateliers 5S) - Gestion des flux d'informations: création d'un outil de traçabilité (Microsoft Access & Infor M3),"Braintree, Essex, UK",Jan 2018,Jun 2018
Zodiac Aerospace,Ingénieur recherche et développement,"Mise au point d'une méthode de prototypage rapide de pièces plastiques injectées grâce à des moules imprimés en 3D - Conception numérique de moules d'injection thermoplastique (CATIA V5) - Gestion de l'impression 3D des moules et de ses contraintes (résistance mécanique, dissipation thermique, précision d'impression...) - Réalisation d'essais d'injection en atelier de production (suivi des dérives de tolérance, analyse de la durée de vie des moules)","Région de Paris, France",May 2017,Oct 2017
Fromageries Perreault (Groupe Savencia),Ouvrier,- Mise en stock avec saisie informatique - Emballage de produits sur une ligne de production - Intégration dans une équipe d’ouvriers,Azé,Jul 2016,Aug 2016
