School Name,Start Date,End Date,Notes,Degree Name,Activities
Ecole centrale de Lyon,2015,2019,"Génie mécanique et électrique, mécanique des fluides, ingénierie des matériaux, management et gestion de projet",,Président-fondateur du Fablab de l’École Centrale de Lyon
École Centrale de Lyon,2017,2017,"Formation professionnelle de 6 semaines: - Management de projets par méthode en cascade (gestion d'équipe, tableaux de bord, gestion de planning sur Microsoft Project) - Management de projets par méthodes Agiles (méthode SCRUM, approche Agile) - Démarche de créativité et méthodologie de résolutions de problèmes (Analyse Fonctionnelle, AMDEC, processus 8D) - Gestion des projets collaboratifs (Pôles de Compétitivité, financements FUI)",Certificat Professionnel,
Lycée Clemenceau de Nantes,2013,2015,"MPSI-PSI (Mathématiques, physique et sciences de l'ingénieur)",Classe Préparatoires aux Grandes Ecoles (CPGE),
Lycée Saint-Michel de Château-Gontier,2010,2013,,Baccalauréat,Président de l'association lycéenne à but humanitaire ULESA
