Title,Description,Url,Start Date,End Date
Développement d'une pile à combustible microbienne (CNRS),"Responsable d’un projet de recherche et développement - Animation d'une équipe de 6 personnes - Recherche de solutions innovantes faisant appel à des compétences multidisciplinaires (microbiologie, mécanique, génie électrique) - Conception et modélisation numérique (CatiaV5, Fluent) - Fabrication additive thermoplastique(impression 3D)",http://www.ampere-lab.fr/spip.php?article864,Sep 2015,Jun 2016
Application industrielle des microturbines hydrauliques dans les sytèmes de refroidissement (SuperGrid Institute),Responsable du projet: - Coordination de l’équipe étudiante et des partenaires industriels - Conception et construction d’un banc d’essai hydraulique,,Sep 2016,Jun 2017
